Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dmPAG,Slice 0,0.0,0.0
dlPAG,Slice 0,0.0,0.0
lPAG,Slice 0,0.0,0.0
vlPAG,Slice 0,0.0,0.79
dmPAG,Slice 1,0.0,0.0
dlPAG,Slice 1,0.0,0.57
lPAG,Slice 1,0.0,0.0
vlPAG,Slice 1,0.0,0.0
dmPAG,Slice 2,0.0,1.21
dlPAG,Slice 2,0.0,0.0
lPAG,Slice 2,0.0,1.07
vlPAG,Slice 2,0.18,1.42
dmPAG,Slice 3,0.0,1.2
dlPAG,Slice 3,0.0,0.0
lPAG,Slice 3,0.0,1.07
vlPAG,Slice 3,0.28,1.3
dmPAG,Slice 5,0.0,1.25
dlPAG,Slice 5,0.0,1.23
lPAG,Slice 5,0.0,1.09
vlPAG,Slice 5,0.0,1.3
dmPAG,Slice 6,0.0,1.16
dlPAG,Slice 6,0.0,1.1
lPAG,Slice 6,0.0,1.07
vlPAG,Slice 6,0.04,1.23
dmPAG,Slice 7,0.0,1.29
dlPAG,Slice 7,0.0,0.59
lPAG,Slice 7,0.0,0.56
vlPAG,Slice 7,0.64,0.46
dmPAG,Slice 8,0.0,1.25
dlPAG,Slice 8,0.99,0.6
lPAG,Slice 8,0.28,1.07
vlPAG,Slice 8,0.86,1.11
dmPAG,Slice 9,0.0,1.24
dlPAG,Slice 9,0.26,1.22
lPAG,Slice 9,0.36,1.1
vlPAG,Slice 9,0.9,1.12
dmPAG,Slice 10,0.0,1.28
dlPAG,Slice 10,0.23,1.18
lPAG,Slice 10,0.36,1.15
vlPAG,Slice 10,0.96,1.1
dmPAG,Slice 11,0.31,1.27
dlPAG,Slice 11,0.35,1.16
lPAG,Slice 11,0.45,1.11
vlPAG,Slice 11,0.91,1.08
dmPAG,Slice 12,0.65,1.11
dlPAG,Slice 12,0.32,1.1
lPAG,Slice 12,0.57,1.07
vlPAG,Slice 12,0.69,0.91
dmPAG,Slice 14,0.55,0.97
dlPAG,Slice 14,0.25,0.37
lPAG,Slice 14,0.57,0.74
vlPAG,Slice 14,0.36,0.58
dmPAG,Slice 15,0.47,0.95
dlPAG,Slice 15,0.29,0.37
lPAG,Slice 15,0.55,0.9
vlPAG,Slice 15,0.61,0.67
dmPAG,Slice 16,1.03,0.99
dlPAG,Slice 16,0.38,1.0
lPAG,Slice 16,0.69,0.96
vlPAG,Slice 16,0.64,0.74
dmPAG,Slice 17,0.49,1.04
dlPAG,Slice 17,0.42,1.02
lPAG,Slice 17,0.6,1.01
vlPAG,Slice 17,0.69,0.71
